Metric,Value
Interview Duration,20.49 seconds
Maximum Simultaneous Faces,1
Off-Screen Duration,0.00 seconds
Average Head Rotation,6.03 degrees

Violations,
Multiple Faces Detected,0
Face Off-Screen Instances,0
Excessive Head Rotation Instances,0
Identity Verification Failed,False
Identity Mismatch Count,0

MediaPipe Emotion Percentages,
browInnerUp,6.21%
jawForward,0.01%
jawOpen,0.21%
mouthPucker,3.79%

DeepFace Analysis,
Emotion,Percentage
angry,0.00%
disgust,0.00%
fear,0.00%
happy,0.00%
sad,0.00%
surprise,0.00%
neutral,0.00%
Gender,Percentage
Man,0.00%
Woman,0.00%
Race,Percentage
asian,0.00%
indian,0.00%
black,0.00%
white,0.00%
middle eastern,0.00%
latino hispanic,0.00%
Average Age,0.00
Average Face Confidence,0.00
Face Detection Rate,0.00%
Analyzed Frames,10
Valid Face Detections,0
